UID          PID    PPID  C STIME TTY          TIME CMD
bansikah    4434    4429  0 08:09 ?        00:00:00 /usr/share/code/code --type=zygote --no-zygote-sandbox
bansikah    4435    4429  0 08:09 ?        00:00:00 /usr/share/code/code --type=zygote
bansikah    4437    4435  0 08:09 ?        00:00:00 /usr/share/code/code --type=zygote
bansikah    4451    2669  0 08:10 ?        00:00:01 /usr/share/code/chrome_crashpad_handler --monitor-self-annotation=ptype=crashpad-handler --no-rate-limit --database=/home/bansikah/.config/Code/Crashpad --url=appcenter://code?aid=fba07a4d-84bd-4fc8-a125-9640fc8ce171&uid=2ef5fb6b-4e39-4416-b2e2-a9fa518ca723&iid=2ef5fb6b-4e39-4416-b2e2-a9fa518ca723&sid=2ef5fb6b-4e39-4416-b2e2-a9fa518ca723 --annotation=_companyName=Microsoft --annotation=_productName=VSCode --annotation=_version=1.82.1 --annotation=lsb-release=Ubuntu 22.04 LTS --annotation=plat=Linux --annotation=prod=Electron --annotation=ver=25.8.0 --initial-client-fd=42 --shared-client-connection
bansikah    4465    4434  2 08:10 ?        00:05:38 /usr/share/code/code --type=gpu-process --crashpad-handler-pid=4451 --enable-crash-reporter=51976707-a2b7-4d7f-b62b-afd70f136b87,no_channel --user-data-dir=/home/bansikah/.config/Code --gpu-preferences=WAAAAAAAAAAgAAAEAAAAAAAAAAAAAAAAAABgAAAAAAA4AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAABAAAAGAAAAAAAAAAYAAAAAAAAAAgAAAAAAAAACAAAAAAAAAAIAAAAAAAAAA== --shared-files --field-trial-handle=0,i,8224972942661932641,14805542728161189160,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess
bansikah    4473    4429  0 08:10 ?        00:00:28 /usr/share/code/code --type=utility --utility-sub-type=network.mojom.NetworkService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=4451 --enable-crash-reporter=51976707-a2b7-4d7f-b62b-afd70f136b87,no_channel --user-data-dir=/home/bansikah/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,8224972942661932641,14805542728161189160,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess
bansikah    4503    4437  1 08:10 ?        00:03:26 /usr/share/code/code --type=renderer --crashpad-handler-pid=4451 --enable-crash-reporter=51976707-a2b7-4d7f-b62b-afd70f136b87,no_channel --user-data-dir=/home/bansikah/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-path=/usr/share/code/resources/app --enable-sandbox --enable-blink-features=HighlightAPI --first-renderer-process --lang=en-US --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=4 --time-ticks-at-unix-epoch=-1698044270662187 --launch-time-ticks=730642423 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,8224972942661932641,14805542728161189160,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --vscode-window-config=vscode:4a82aff9-897f-4cb6-97b9-acf0b2ca7d76
bansikah    4511    4437  6 08:10 ?        00:14:44 /usr/share/code/code --type=renderer --crashpad-handler-pid=4451 --enable-crash-reporter=51976707-a2b7-4d7f-b62b-afd70f136b87,no_channel --user-data-dir=/home/bansikah/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --app-path=/usr/share/code/resources/app --enable-sandbox --enable-blink-features=HighlightAPI --lang=en-US --num-raster-threads=2 --enable-main-frame-before-activation --renderer-client-id=5 --time-ticks-at-unix-epoch=-1698044270662187 --launch-time-ticks=730759082 --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,8224972942661932641,14805542728161189160,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess --vscode-window-config=vscode:5962c8ee-c70d-4ccf-94f8-36b633aa9d27
bansikah    4553    4429  0 08:10 ?        00:02:17 /usr/share/code/code --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=4451 --enable-crash-reporter=51976707-a2b7-4d7f-b62b-afd70f136b87,no_channel --user-data-dir=/home/bansikah/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,8224972942661932641,14805542728161189160,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess
bansikah    4554    4429  0 08:10 ?        00:00:10 /usr/share/code/code --type=utility --utility-sub-type=node.mojom.NodeService --lang=en-US --service-sandbox-type=none --crashpad-handler-pid=4451 --enable-crash-reporter=51976707-a2b7-4d7f-b62b-afd70f136b87,no_channel --user-data-dir=/home/bansikah/.config/Code --standard-schemes=vscode-webview,vscode-file --enable-sandbox --secure-schemes=vscode-webview,vscode-file --bypasscsp-schemes --cors-schemes=vscode-webview,vscode-file --fetch-schemes=vscode-webview,vscode-file --service-worker-schemes=vscode-webview --streaming-schemes --shared-files=v8_context_snapshot_data:100 --field-trial-handle=0,i,8224972942661932641,14805542728161189160,262144 --disable-features=CalculateNativeWinOcclusion,SpareRendererForSitePerProcess
